freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.0050,0,0,0,-4.00,8.8046
1,0.0050,0,0,0,-3.87,8.8236
1,0.0050,0,0,0,-3.74,8.8074
1,0.0050,0,0,0,-3.61,8.7706
1,0.0050,0,0,0,-3.48,8.7754
1,0.0050,0,0,0,-3.35,8.7492
1,0.0050,0,0,0,-3.22,8.7239
1,0.0050,0,0,0,-3.09,8.7210
1,0.0050,0,0,0,-2.96,8.6903
1,0.0050,0,0,0,-2.83,8.6731
1,0.0050,0,0,0,-2.70,8.6454
1,0.0050,0,0,0,-2.57,8.5885
1,0.0050,0,0,0,-2.44,8.5357
1,0.0050,0,0,0,-2.31,8.4958
1,0.0050,0,0,0,-2.18,8.4186
1,0.0050,0,0,0,-2.05,8.3256
1,0.0050,0,0,0,-1.92,8.1798
1,0.0050,0,0,0,-1.79,8.0004
1,0.0050,0,0,0,-1.66,7.6911
1,0.0050,0,0,0,-1.53,7.2096
1,0.0050,0,0,0,-1.40,6.3318
1,0.0050,0,0,0,-1.27,4.8218
1,0.0050,0,0,0,-1.14,3.1170
1,0.0050,0,0,0,-1.01,2.2874
1,0.0050,0,0,0,-0.88,1.6458
1,0.0050,0,0,0,-0.75,1.5157
1,0.0050,0,0,0,-0.62,1.9339
1,0.0050,0,0,0,-0.49,4.2926
1,0.0050,0,0,0,-0.36,5.8472
1,0.0050,0,0,0,-0.23,6.3878
1,0.0050,0,0,0,-0.10,6.6506
1,0.0050,0,0,0,0.03,6.8059
1,0.0050,0,0,0,0.16,6.9331
1,0.0050,0,0,0,0.29,7.0584
1,0.0050,0,0,0,0.42,7.1250
1,0.0050,0,0,0,0.55,7.1936
1,0.0050,0,0,0,0.68,7.2557
1,0.0050,0,0,0,0.81,7.3175
1,0.0050,0,0,0,0.94,7.3732
1,0.0050,0,0,0,1.07,7.4242
1,0.0050,0,0,0,1.20,7.4682
1,0.0050,0,0,0,1.33,7.5038
1,0.0050,0,0,0,1.46,7.5413
1,0.0050,0,0,0,1.59,7.5670
1,0.0050,0,0,0,1.72,7.6086
1,0.0050,0,0,0,1.85,7.6493
1,0.0050,0,0,0,1.98,7.6658
1,0.0050,0,0,0,2.11,7.6939
1,0.0050,0,0,0,2.24,7.6969
1,0.0050,0,0,0,2.37,7.7446
1,0.0050,0,0,0,2.50,7.7561
1,0.0049,0,0,0,-4.00,9.6338
1,0.0049,0,0,0,-3.87,9.5140
1,0.0049,0,0,0,-3.74,9.5401
1,0.0049,0,0,0,-3.61,9.5222
1,0.0049,0,0,0,-3.48,9.5415
1,0.0049,0,0,0,-3.35,9.5216
1,0.0049,0,0,0,-3.22,9.4676
1,0.0049,0,0,0,-3.09,9.4740
1,0.0049,0,0,0,-2.96,9.4314
1,0.0049,0,0,0,-2.83,9.4342
1,0.0049,0,0,0,-2.70,9.3967
1,0.0049,0,0,0,-2.57,9.3207
1,0.0049,0,0,0,-2.44,9.2974
1,0.0049,0,0,0,-2.31,9.2403
1,0.0049,0,0,0,-2.18,9.1908
1,0.0049,0,0,0,-2.05,9.0950
1,0.0049,0,0,0,-1.92,8.9296
1,0.0049,0,0,0,-1.79,8.7914
1,0.0049,0,0,0,-1.66,8.6229
1,0.0049,0,0,0,-1.53,8.1778
1,0.0049,0,0,0,-1.40,7.4534
1,0.0049,0,0,0,-1.27,6.1337
1,0.0049,0,0,0,-1.14,4.1430
1,0.0049,0,0,0,-1.01,2.8178
1,0.0049,0,0,0,-0.88,2.2556
1,0.0049,0,0,0,-0.75,2.0719
1,0.0049,0,0,0,-0.62,2.4255
1,0.0049,0,0,0,-0.49,5.0843
1,0.0049,0,0,0,-0.36,7.3035
1,0.0049,0,0,0,-0.23,8.0775
1,0.0049,0,0,0,-0.10,8.4761
1,0.0049,0,0,0,0.03,8.6506
1,0.0049,0,0,0,0.16,8.8535
1,0.0049,0,0,0,0.29,8.9967
1,0.0049,0,0,0,0.42,9.0497
1,0.0049,0,0,0,0.55,9.1163
1,0.0049,0,0,0,0.68,9.1525
1,0.0049,0,0,0,0.81,9.1633
1,0.0049,0,0,0,0.94,9.2771
1,0.0049,0,0,0,1.07,9.2270
1,0.0049,0,0,0,1.20,9.2434
1,0.0049,0,0,0,1.33,9.3322
1,0.0049,0,0,0,1.46,9.3490
1,0.0049,0,0,0,1.59,9.3463
1,0.0049,0,0,0,1.72,9.3826
1,0.0049,0,0,0,1.85,9.3160
1,0.0049,0,0,0,1.98,9.3785
1,0.0049,0,0,0,2.11,9.3896
1,0.0049,0,0,0,2.24,9.3816
1,0.0049,0,0,0,2.37,9.3783
1,0.0049,0,0,0,2.50,9.4432
1,0.0102,0,0,0,-4.00,17.8193
1,0.0102,0,0,0,-3.87,17.7892
1,0.0102,0,0,0,-3.74,17.7682
1,0.0102,0,0,0,-3.61,17.7585
1,0.0102,0,0,0,-3.48,17.7002
1,0.0102,0,0,0,-3.35,17.6635
1,0.0102,0,0,0,-3.22,17.6394
1,0.0102,0,0,0,-3.09,17.5921
1,0.0102,0,0,0,-2.96,17.5559
1,0.0102,0,0,0,-2.83,17.4917
1,0.0102,0,0,0,-2.70,17.4518
1,0.0102,0,0,0,-2.57,17.3632
1,0.0102,0,0,0,-2.44,17.2769
1,0.0102,0,0,0,-2.31,17.1616
1,0.0102,0,0,0,-2.18,17.0046
1,0.0102,0,0,0,-2.05,16.8371
1,0.0102,0,0,0,-1.92,16.6120
1,0.0102,0,0,0,-1.79,16.2519
1,0.0102,0,0,0,-1.66,15.7453
1,0.0102,0,0,0,-1.53,14.8798
1,0.0102,0,0,0,-1.40,13.4181
1,0.0102,0,0,0,-1.27,10.6480
1,0.0102,0,0,0,-1.14,6.8055
1,0.0102,0,0,0,-1.01,4.4950
1,0.0102,0,0,0,-0.88,3.2255
1,0.0102,0,0,0,-0.75,2.6872
1,0.0102,0,0,0,-0.62,3.2415
1,0.0102,0,0,0,-0.49,7.5997
1,0.0102,0,0,0,-0.36,11.3442
1,0.0102,0,0,0,-0.23,12.4537
1,0.0102,0,0,0,-0.10,12.9769
1,0.0102,0,0,0,0.03,13.3348
1,0.0102,0,0,0,0.16,13.5752
1,0.0102,0,0,0,0.29,13.7556
1,0.0102,0,0,0,0.42,13.9251
1,0.0102,0,0,0,0.55,14.0550
1,0.0102,0,0,0,0.68,14.1630
1,0.0102,0,0,0,0.81,14.2499
1,0.0102,0,0,0,0.94,14.3630
1,0.0102,0,0,0,1.07,14.4336
1,0.0102,0,0,0,1.20,14.4920
1,0.0102,0,0,0,1.33,14.5887
1,0.0102,0,0,0,1.46,14.6475
1,0.0102,0,0,0,1.59,14.7189
1,0.0102,0,0,0,1.72,14.7226
1,0.0102,0,0,0,1.85,14.7652
1,0.0102,0,0,0,1.98,14.8526
1,0.0102,0,0,0,2.11,14.9097
1,0.0102,0,0,0,2.24,14.9979
1,0.0102,0,0,0,2.37,15.0072
1,0.0102,0,0,0,2.50,15.0557
1,0.0100,0,0,0,-4.00,18.0016
1,0.0100,0,0,0,-3.87,18.0073
1,0.0100,0,0,0,-3.74,18.0044
1,0.0100,0,0,0,-3.61,17.9623
1,0.0100,0,0,0,-3.48,17.9145
1,0.0100,0,0,0,-3.35,17.9310
1,0.0100,0,0,0,-3.22,17.9031
1,0.0100,0,0,0,-3.09,17.8719
1,0.0100,0,0,0,-2.96,17.7930
1,0.0100,0,0,0,-2.83,17.8205
1,0.0100,0,0,0,-2.70,17.6829
1,0.0100,0,0,0,-2.57,17.6810
1,0.0100,0,0,0,-2.44,17.5993
1,0.0100,0,0,0,-2.31,17.4648
1,0.0100,0,0,0,-2.18,17.3567
1,0.0100,0,0,0,-2.05,17.2237
1,0.0100,0,0,0,-1.92,16.9315
1,0.0100,0,0,0,-1.79,16.6711
1,0.0100,0,0,0,-1.66,16.2598
1,0.0100,0,0,0,-1.53,15.5258
1,0.0100,0,0,0,-1.40,14.3345
1,0.0100,0,0,0,-1.27,11.9938
1,0.0100,0,0,0,-1.14,8.2743
1,0.0100,0,0,0,-1.01,5.2854
1,0.0100,0,0,0,-0.88,4.0197
1,0.0100,0,0,0,-0.75,3.4497
1,0.0100,0,0,0,-0.62,4.0209
1,0.0100,0,0,0,-0.49,9.2455
1,0.0100,0,0,0,-0.36,13.5560
1,0.0100,0,0,0,-0.23,15.1011
1,0.0100,0,0,0,-0.10,15.8363
