frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,7.705434799194336
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,7.7128682136535645
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,7.720288276672363
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,7.730733871459961
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.5555,7.694769859313965
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,7.658809185028076
1.0,0.005,0.0,1.0,0.0,-3.22,7.512800000000001,7.634951591491699
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,7.663886070251465
1.0,0.005,0.0,1.0,0.0,-2.96,7.5058,7.7061991691589355
1.0,0.005,0.0,1.0,0.0,-2.83,7.4668,7.734289646148682
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,7.727779865264893
1.0,0.005,0.0,1.0,0.0,-2.57,7.410000000000001,7.632695198059082
1.0,0.005,0.0,1.0,0.0,-2.44,7.381899999999999,7.540646553039551
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,7.455508232116699
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,7.370365619659424
1.0,0.005,0.0,1.0,0.0,-2.05,7.1922,7.285223007202148
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.1094,7.188055038452148
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.076353549957275
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,6.920036315917969
1.0,0.005,0.0,1.0,0.0,-1.53,6.4762,6.727683067321777
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,6.13394832611084
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,4.851101875305176
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,3.1227173805236816
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,1.9990705251693726
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,1.9928736686706543
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5093,1.986677885055542
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,2.024602174758911
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,3.2866225242614746
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.9405,5.079107284545898
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.157461643218994
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.3088,6.614531993865967
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,6.794425010681152
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,6.88345193862915
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,6.977003574371338
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,7.005725860595703
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.8943,7.0199174880981445
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.034109115600586
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.9858,7.085947513580322
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.0149,7.177034378051758
1.0,0.005,0.0,1.0,0.0,1.0699999999999998,7.0636,7.267520904541016
1.0,0.005,0.0,1.0,0.0,1.2,7.0888,7.310729026794434
