frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,8.009497890708127
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,7.810723541801056
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,7.61535357048495
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,7.42395051946643
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.5555,7.237074621337895
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,7.055281585871898
1.0,0.005,0.0,1.0,0.0,-3.22,7.512800000000001,6.8791203705935295
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,6.709130945925254
1.0,0.005,0.0,1.0,0.0,-2.96,7.5058,6.5458420664077055
1.0,0.005,0.0,1.0,0.0,-2.83,7.4668,6.389769059635066
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,6.241411644607399
1.0,0.005,0.0,1.0,0.0,-2.57,7.410000000000001,6.1012517911892985
1.0,0.005,0.0,1.0,0.0,-2.44,7.381899999999999,5.969751632276876
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,5.847351440110102
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,5.734467677928186
1.0,0.005,0.0,1.0,0.0,-2.05,7.1922,5.631491137849614
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.1094,5.538785175470104
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,5.456684051210971
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,5.385491387921043
1.0,0.005,0.0,1.0,0.0,-1.53,6.4762,5.3254787536398185
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,5.27688437777218
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,5.239912008209406
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,5.214729916162899
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,5.201470054659981
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,5.200227375791857
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5093,5.211059310907893
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,5.233985417023677
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,5.2689871917596935
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.9405,5.316008058159428
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,5.374953519757329
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.3088,5.445691485284018
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,5.52805276141797
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,5.62183171102309
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,5.726787073360282
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,5.842642941832196
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.8943,5.969089893922827
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,6.105786267131411
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.9858,6.25235957388133
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.0149,6.408408047612792
1.0,0.005,0.0,1.0,0.0,1.0699999999999998,7.0636,6.573502311551028
1.0,0.005,0.0,1.0,0.0,1.2,7.0888,6.747187160980454
1.0,0.005,0.0,1.0,0.0,1.33,7.1137,6.928983449259025
1.0,0.005,0.0,1.0,0.0,1.4600000000000002,7.1077,7.118390067274321
1.0,0.005,0.0,1.0,0.0,1.5900000000000003,7.1404,7.31488600558184
1.0,0.005,0.0,1.0,0.0,1.7200000000000004,7.1725,7.517932488075519
1.0,0.005,0.0,1.0,0.0,1.8500000000000005,7.1873,7.726975165725058
1.0,0.005,0.0,1.0,0.0,1.98,7.2038,7.941446358675451
1.0,0.005,0.0,1.0,0.0,2.11,7.2047,8.160767334840864
1.0,0.005,0.0,1.0,0.0,2.24,7.2332,8.384350613039654
1.0,0.005,0.0,1.0,0.0,2.37,7.2412,8.611602278708757
1.0,0.005,0.0,1.0,0.0,2.4999999999999996,7.225,8.841924300303683
1.0,0.0049,0.0,1.0,0.0,-4.0,7.6794,7.917653661971671
1.0,0.0049,0.0,1.0,0.0,-3.87,7.6777999999999995,7.720181358575897
1.0,0.0049,0.0,1.0,0.0,-3.7400000000000007,7.6804,7.52613445166042
1.0,0.0049,0.0,1.0,0.0,-3.61,7.6346,7.3360696186858885
1.0,0.0049,0.0,1.0,0.0,-3.4800000000000004,7.6532,7.150541157033601
1.0,0.0049,0.0,1.0,0.0,-3.35,7.6125,6.970098797723334
1.0,0.0049,0.0,1.0,0.0,-3.22,7.593,6.795285502922989
1.0,0.0049,0.0,1.0,0.0,-3.09,7.59,6.626635258401527
1.0,0.0049,0.0,1.0,0.0,-2.96,7.5841,6.464670872280492
1.0,0.0049,0.0,1.0,0.0,-2.83,7.5402,6.309901791572057
1.0,0.0049,0.0,1.0,0.0,-2.7,7.5321,6.162821948052524
1.0,0.0049,0.0,1.0,0.0,-2.57,7.4757,6.02390764500695
1.0,0.0049,0.0,1.0,0.0,-2.44,7.4372,5.893615496291932
1.0,0.0049,0.0,1.0,0.0,-2.31,7.3979,5.7723804290005924
1.0,0.0049,0.0,1.0,0.0,-2.18,7.3567,5.6606137607756875
1.0,0.0049,0.0,1.0,0.0,-2.05,7.288899999999999,5.558701362503985
1.0,0.0049,0.0,1.0,0.0,-1.9200000000000002,7.1938,5.467001916740588
