freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.0050,0,0,0,-4.00,8.8046,0.0000
1,0.0050,0,0,0,-3.87,8.8236,0.0000
1,0.0050,0,0,0,-3.74,8.8074,0.0000
1,0.0050,0,0,0,-3.61,8.7706,0.0000
1,0.0050,0,0,0,-3.48,8.7754,0.0000
1,0.0050,0,0,0,-3.35,8.7492,0.0000
1,0.0050,0,0,0,-3.22,8.7239,0.0000
1,0.0050,0,0,0,-3.09,8.7210,0.0000
1,0.0050,0,0,0,-2.96,8.6903,0.0000
1,0.0050,0,0,0,-2.83,8.6731,0.0000
1,0.0050,0,0,0,-2.70,8.6454,0.0000
1,0.0050,0,0,0,-2.57,8.5885,0.0000
1,0.0050,0,0,0,-2.44,8.5357,0.0000
1,0.0050,0,0,0,-2.31,8.4958,0.0000
1,0.0050,0,0,0,-2.18,8.4186,0.0000
1,0.0050,0,0,0,-2.05,8.3256,0.0000
1,0.0050,0,0,0,-1.92,8.1798,0.0000
1,0.0050,0,0,0,-1.79,8.0004,0.0000
1,0.0050,0,0,0,-1.66,7.6911,0.0000
1,0.0050,0,0,0,-1.53,7.2096,0.0000
1,0.0050,0,0,0,-1.40,6.3318,0.0000
1,0.0050,0,0,0,-1.27,4.8218,0.0000
1,0.0050,0,0,0,-1.14,3.1170,0.0000
1,0.0050,0,0,0,-1.01,2.2874,0.0000
1,0.0050,0,0,0,-0.88,1.6458,0.0000
1,0.0050,0,0,0,-0.75,1.5157,0.0000
1,0.0050,0,0,0,-0.62,1.9339,0.0000
1,0.0050,0,0,0,-0.49,4.2926,0.0000
1,0.0050,0,0,0,-0.36,5.8472,0.0000
1,0.0050,0,0,0,-0.23,6.3878,0.0000
1,0.0050,0,0,0,-0.10,6.6506,0.0000
1,0.0050,0,0,0,0.03,6.8059,0.0000
1,0.0050,0,0,0,0.16,6.9331,0.0000
1,0.0050,0,0,0,0.29,7.0584,0.0000
1,0.0050,0,0,0,0.42,7.1250,0.0000
1,0.0050,0,0,0,0.55,7.1936,0.0000
1,0.0050,0,0,0,0.68,7.2557,0.0000
1,0.0050,0,0,0,0.81,7.3175,0.0000
1,0.0050,0,0,0,0.94,7.3732,0.0000
1,0.0050,0,0,0,1.07,7.4242,0.0000
1,0.0050,0,0,0,1.20,7.4682,0.0000
1,0.0050,0,0,0,1.33,7.5038,0.0000
1,0.0050,0,0,0,1.46,7.5413,0.0000
1,0.0050,0,0,0,1.59,7.5670,0.0000
1,0.0050,0,0,0,1.72,7.6086,0.0000
1,0.0050,0,0,0,1.85,7.6493,0.0000
1,0.0050,0,0,0,1.98,7.6658,0.0000
1,0.0050,0,0,0,2.11,7.6939,0.0000
1,0.0050,0,0,0,2.24,7.6969,0.0000
1,0.0050,0,0,0,2.37,7.7446,0.0000
1,0.0050,0,0,0,2.50,7.7561,0.0000
1,0.0049,0,0,0,-4.00,9.6338,0.0000
1,0.0049,0,0,0,-3.87,9.5140,0.0000
1,0.0049,0,0,0,-3.74,9.5401,0.0000
1,0.0049,0,0,0,-3.61,9.5222,0.0000
1,0.0049,0,0,0,-3.48,9.5415,0.0000
1,0.0049,0,0,0,-3.35,9.5216,0.0000
1,0.0049,0,0,0,-3.22,9.4676,0.0000
1,0.0049,0,0,0,-3.09,9.4740,0.0000
1,0.0049,0,0,0,-2.96,9.4314,0.0000
1,0.0049,0,0,0,-2.83,9.4342,0.0000
1,0.0049,0,0,0,-2.70,9.3967,0.0000
1,0.0049,0,0,0,-2.57,9.3207,0.0000
1,0.0049,0,0,0,-2.44,9.2974,0.0000
1,0.0049,0,0,0,-2.31,9.2403,0.0000
1,0.0049,0,0,0,-2.18,9.1908,0.0000
1,0.0049,0,0,0,-2.05,9.0950,0.0000
1,0.0049,0,0,0,-1.92,8.9296,0.0000
1,0.0049,0,0,0,-1.79,8.7914,0.0000
1,0.0049,0,0,0,-1.66,8.6229,0.0000
1,0.0049,0,0,0,-1.53,8.1778,0.0000
1,0.0049,0,0,0,-1.40,7.4534,0.0000
1,0.0049,0,0,0,-1.27,6.1337,0.0000
1,0.0049,0,0,0,-1.14,4.1430,0.0000
1,0.0049,0,0,0,-1.01,2.8178,0.0000
1,0.0049,0,0,0,-0.88,2.2556,0.0000
1,0.0049,0,0,0,-0.75,2.0719,0.0000
1,0.0049,0,0,0,-0.62,2.4255,0.0000
1,0.0049,0,0,0,-0.49,5.0843,0.0000
1,0.0049,0,0,0,-0.36,7.3035,0.0000
1,0.0049,0,0,0,-0.23,8.0775,0.0000
1,0.0049,0,0,0,-0.10,8.4761,0.0000
1,0.0049,0,0,0,0.03,8.6506,0.0000
1,0.0049,0,0,0,0.16,8.8535,0.0000
1,0.0049,0,0,0,0.29,8.9967,0.0000
1,0.0049,0,0,0,0.42,9.0497,0.0000
1,0.0049,0,0,0,0.55,9.1163,0.0000
1,0.0049,0,0,0,0.68,9.1525,0.0000
1,0.0049,0,0,0,0.81,9.1633,0.0000
1,0.0049,0,0,0,0.94,9.2771,0.0000
1,0.0049,0,0,0,1.07,9.2270,0.0000
1,0.0049,0,0,0,1.20,9.2434,0.0000
1,0.0049,0,0,0,1.33,9.3322,0.0000
1,0.0049,0,0,0,1.46,9.3490,0.0000
1,0.0049,0,0,0,1.59,9.3463,0.0000
1,0.0049,0,0,0,1.72,9.3826,0.0000
1,0.0049,0,0,0,1.85,9.3160,0.0000
1,0.0049,0,0,0,1.98,9.3785,0.0000
1,0.0049,0,0,0,2.11,9.3896,0.0000
1,0.0049,0,0,0,2.24,9.3816,0.0000
1,0.0049,0,0,0,2.37,9.3783,0.0000
1,0.0049,0,0,0,2.50,9.4432,0.0000
1,0.0102,0,0,0,-4.00,17.8193,0.0000
1,0.0102,0,0,0,-3.87,17.7892,0.0000
1,0.0102,0,0,0,-3.74,17.7682,0.0000
1,0.0102,0,0,0,-3.61,17.7585,0.0000
1,0.0102,0,0,0,-3.48,17.7002,0.0000
1,0.0102,0,0,0,-3.35,17.6635,0.0000
1,0.0102,0,0,0,-3.22,17.6394,0.0000
1,0.0102,0,0,0,-3.09,17.5921,0.0000
1,0.0102,0,0,0,-2.96,17.5559,0.0000
1,0.0102,0,0,0,-2.83,17.4917,0.0000
1,0.0102,0,0,0,-2.70,17.4518,0.0000
1,0.0102,0,0,0,-2.57,17.3632,0.0000
1,0.0102,0,0,0,-2.44,17.2769,0.0000
1,0.0102,0,0,0,-2.31,17.1616,0.0000
1,0.0102,0,0,0,-2.18,17.0046,0.0000
1,0.0102,0,0,0,-2.05,16.8371,0.0000
1,0.0102,0,0,0,-1.92,16.6120,0.0000
1,0.0102,0,0,0,-1.79,16.2519,0.0000
1,0.0102,0,0,0,-1.66,15.7453,0.0000
1,0.0102,0,0,0,-1.53,14.8798,0.0000
1,0.0102,0,0,0,-1.40,13.4181,0.0000
1,0.0102,0,0,0,-1.27,10.6480,0.0000
1,0.0102,0,0,0,-1.14,6.8055,0.0000
1,0.0102,0,0,0,-1.01,4.4950,0.0000
1,0.0102,0,0,0,-0.88,3.2255,0.0000
1,0.0102,0,0,0,-0.75,2.6872,0.0000
1,0.0102,0,0,0,-0.62,3.2415,0.0000
1,0.0102,0,0,0,-0.49,7.5997,0.0000
1,0.0102,0,0,0,-0.36,11.3442,0.0000
1,0.0102,0,0,0,-0.23,12.4537,0.0000
1,0.0102,0,0,0,-0.10,12.9769,0.0000
1,0.0102,0,0,0,0.03,13.3348,0.0000
1,0.0102,0,0,0,0.16,13.5752,0.0000
1,0.0102,0,0,0,0.29,13.7556,0.0000
1,0.0102,0,0,0,0.42,13.9251,0.0000
1,0.0102,0,0,0,0.55,14.0550,0.0000
1,0.0102,0,0,0,0.68,14.1630,0.0000
1,0.0102,0,0,0,0.81,14.2499,0.0000
1,0.0102,0,0,0,0.94,14.3630,0.0000
1,0.0102,0,0,0,1.07,14.4336,0.0000
1,0.0102,0,0,0,1.20,14.4920,0.0000
1,0.0102,0,0,0,1.33,14.5887,0.0000
1,0.0102,0,0,0,1.46,14.6475,0.0000
1,0.0102,0,0,0,1.59,14.7189,0.0000
1,0.0102,0,0,0,1.72,14.7226,0.0000
1,0.0102,0,0,0,1.85,14.7652,0.0000
1,0.0102,0,0,0,1.98,14.8526,0.0000
1,0.0102,0,0,0,2.11,14.9097,0.0000
1,0.0102,0,0,0,2.24,14.9979,0.0000
1,0.0102,0,0,0,2.37,15.0072,0.0000
1,0.0102,0,0,0,2.50,15.0557,0.0000
1,0.0100,0,0,0,-4.00,18.0016,0.0000
1,0.0100,0,0,0,-3.87,18.0073,0.0000
1,0.0100,0,0,0,-3.74,18.0044,0.0000
1,0.0100,0,0,0,-3.61,17.9623,0.0000
1,0.0100,0,0,0,-3.48,17.9145,0.0000
1,0.0100,0,0,0,-3.35,17.9310,0.0000
1,0.0100,0,0,0,-3.22,17.9031,0.0000
1,0.0100,0,0,0,-3.09,17.8719,0.0000
1,0.0100,0,0,0,-2.96,17.7930,0.0000
1,0.0100,0,0,0,-2.83,17.8205,0.0000
1,0.0100,0,0,0,-2.70,17.6829,0.0000
1,0.0100,0,0,0,-2.57,17.6810,0.0000
1,0.0100,0,0,0,-2.44,17.5993,0.0000
1,0.0100,0,0,0,-2.31,17.4648,0.0000
1,0.0100,0,0,0,-2.18,17.3567,0.0000
1,0.0100,0,0,0,-2.05,17.2237,0.0000
1,0.0100,0,0,0,-1.92,16.9315,0.0000
1,0.0100,0,0,0,-1.79,16.6711,0.0000
1,0.0100,0,0,0,-1.66,16.2598,0.0000
