freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.005,0,1,0,-4,7.599,0
1,0.005,0,1,0,-3.87,7.5796,0
1,0.005,0,1,0,-3.74,7.5782,0
1,0.005,0,1,0,-3.61,7.5627,0
1,0.005,0,1,0,-3.48,7.5555,0
1,0.005,0,1,0,-3.35,7.5428,0
1,0.005,0,1,0,-3.22,7.5128,0
1,0.005,0,1,0,-3.09,7.5221,0
1,0.005,0,1,0,-2.96,7.5058,0
1,0.005,0,1,0,-2.83,7.4668,0
1,0.005,0,1,0,-2.7,7.4362,0
1,0.005,0,1,0,-2.57,7.41,0
1,0.005,0,1,0,-2.44,7.3819,0
1,0.005,0,1,0,-2.31,7.3295,0
1,0.005,0,1,0,-2.18,7.2834,0
1,0.005,0,1,0,-2.05,7.1922,0
1,0.005,0,1,0,-1.92,7.1094,0
1,0.005,0,1,0,-1.79,7.0037,0
1,0.005,0,1,0,-1.66,6.8013,0
1,0.005,0,1,0,-1.53,6.4762,0
1,0.005,0,1,0,-1.4,5.9339,0
1,0.005,0,1,0,-1.27,4.8914,0
1,0.005,0,1,0,-1.14,3.3418,0
1,0.005,0,1,0,-1.01,2.3145,0
1,0.005,0,1,0,-0.88,1.9022,0
1,0.005,0,1,0,-0.75,1.5093,0
1,0.005,0,1,0,-0.62,1.8834,0
1,0.005,0,1,0,-0.49,2.9523,0
1,0.005,0,1,0,-0.36,4.9405,0
1,0.005,0,1,0,-0.23,5.8892,0
1,0.005,0,1,0,-0.1,6.3088,0
1,0.005,0,1,0,0.03,6.5335,0
1,0.005,0,1,0,0.16,6.649,0
1,0.005,0,1,0,0.29,6.7669,0
1,0.005,0,1,0,0.42,6.8393,0
1,0.005,0,1,0,0.55,6.8943,0
1,0.005,0,1,0,0.68,6.9594,0
1,0.005,0,1,0,0.81,6.9858,0
1,0.005,0,1,0,0.94,7.0149,0
1,0.005,0,1,0,1.07,7.0636,0
1,0.005,0,1,0,1.2,7.0888,0
1,0.005,0,1,0,1.33,7.1137,0
1,0.005,0,1,0,1.46,7.1077,0
1,0.005,0,1,0,1.59,7.1404,0
1,0.005,0,1,0,1.72,7.1725,0
1,0.005,0,1,0,1.85,7.1873,0
1,0.005,0,1,0,1.98,7.2038,0
1,0.005,0,1,0,2.11,7.2047,0
1,0.005,0,1,0,2.24,7.2332,0
1,0.005,0,1,0,2.37,7.2412,0
1,0.005,0,1,0,2.5,7.225,0
1,0.0049,0,1,0,-4,7.6794,0
1,0.0049,0,1,0,-3.87,7.6778,0
1,0.0049,0,1,0,-3.74,7.6804,0
1,0.0049,0,1,0,-3.61,7.6346,0
1,0.0049,0,1,0,-3.48,7.6532,0
1,0.0049,0,1,0,-3.35,7.6125,0
1,0.0049,0,1,0,-3.22,7.593,0
1,0.0049,0,1,0,-3.09,7.59,0
1,0.0049,0,1,0,-2.96,7.5841,0
1,0.0049,0,1,0,-2.83,7.5402,0
1,0.0049,0,1,0,-2.7,7.5321,0
1,0.0049,0,1,0,-2.57,7.4757,0
1,0.0049,0,1,0,-2.44,7.4372,0
1,0.0049,0,1,0,-2.31,7.3979,0
1,0.0049,0,1,0,-2.18,7.3567,0
1,0.0049,0,1,0,-2.05,7.2889,0
1,0.0049,0,1,0,-1.92,7.1938,0
1,0.0049,0,1,0,-1.79,7.0558,0
1,0.0049,0,1,0,-1.66,6.8186,0
1,0.0049,0,1,0,-1.53,6.515,0
1,0.0049,0,1,0,-1.4,5.9202,0
1,0.0049,0,1,0,-1.27,4.8869,0
1,0.0049,0,1,0,-1.14,3.3288,0
1,0.0049,0,1,0,-1.01,2.3169,0
1,0.0049,0,1,0,-0.88,1.9327,0
1,0.0049,0,1,0,-0.75,1.641,0
1,0.0049,0,1,0,-0.62,2.0665,0
1,0.0049,0,1,0,-0.49,3.2655,0
1,0.0049,0,1,0,-0.36,5.273,0
1,0.0049,0,1,0,-0.23,6.1592,0
1,0.0049,0,1,0,-0.1,6.5814,0
1,0.0049,0,1,0,0.03,6.7946,0
1,0.0049,0,1,0,0.16,6.9562,0
1,0.0049,0,1,0,0.29,7.0517,0
1,0.0049,0,1,0,0.42,7.1309,0
1,0.0049,0,1,0,0.55,7.207,0
1,0.0049,0,1,0,0.68,7.248,0
1,0.0049,0,1,0,0.81,7.2797,0
1,0.0049,0,1,0,0.94,7.3064,0
1,0.0049,0,1,0,1.07,7.3581,0
1,0.0049,0,1,0,1.2,7.3964,0
1,0.0049,0,1,0,1.33,7.4057,0
1,0.0049,0,1,0,1.46,7.3964,0
1,0.0049,0,1,0,1.59,7.4129,0
1,0.0049,0,1,0,1.72,7.4397,0
1,0.0049,0,1,0,1.85,7.4513,0
1,0.0049,0,1,0,1.98,7.4807,0
1,0.0049,0,1,0,2.11,7.4649,0
1,0.0049,0,1,0,2.24,7.4863,0
1,0.0049,0,1,0,2.37,7.4921,0
1,0.0049,0,1,0,2.5,7.4988,0
1,0.0102,0,1,0,-4,15.3047,0
1,0.0102,0,1,0,-3.87,15.3382,0
1,0.0102,0,1,0,-3.74,15.2704,0
1,0.0102,0,1,0,-3.61,15.2997,0
1,0.0102,0,1,0,-3.48,15.2919,0
1,0.0102,0,1,0,-3.35,15.2179,0
1,0.0102,0,1,0,-3.22,15.2236,0
1,0.0102,0,1,0,-3.09,15.1817,0
1,0.0102,0,1,0,-2.96,15.1506,0
1,0.0102,0,1,0,-2.83,15.1269,0
1,0.0102,0,1,0,-2.7,15.0581,0
1,0.0102,0,1,0,-2.57,14.9801,0
1,0.0102,0,1,0,-2.44,14.9946,0
1,0.0102,0,1,0,-2.31,14.8846,0
1,0.0102,0,1,0,-2.18,14.7545,0
1,0.0102,0,1,0,-2.05,14.6678,0
1,0.0102,0,1,0,-1.92,14.468,0
1,0.0102,0,1,0,-1.79,14.2456,0
1,0.0102,0,1,0,-1.66,13.9025,0
1,0.0102,0,1,0,-1.53,13.4204,0
1,0.0102,0,1,0,-1.4,12.5078,0
1,0.0102,0,1,0,-1.27,10.8542,0
1,0.0102,0,1,0,-1.14,7.8614,0
1,0.0102,0,1,0,-1.01,5.1446,0
1,0.0102,0,1,0,-0.88,4.2973,0
1,0.0102,0,1,0,-0.75,3.6677,0
1,0.0102,0,1,0,-0.62,4.2411,0
1,0.0102,0,1,0,-0.49,7.0023,0
1,0.0102,0,1,0,-0.36,11.038,0
1,0.0102,0,1,0,-0.23,12.7107,0
1,0.0102,0,1,0,-0.1,13.4626,0
1,0.0102,0,1,0,0.03,13.8829,0
1,0.0102,0,1,0,0.16,14.1693,0
1,0.0102,0,1,0,0.29,14.3987,0
1,0.0102,0,1,0,0.42,14.5493,0
1,0.0102,0,1,0,0.55,14.6027,0
1,0.0102,0,1,0,0.68,14.714,0
1,0.0102,0,1,0,0.81,14.7632,0
1,0.0102,0,1,0,0.94,14.7794,0
1,0.0102,0,1,0,1.07,14.915,0
1,0.0102,0,1,0,1.2,14.8758,0
1,0.0102,0,1,0,1.33,14.927,0
1,0.0102,0,1,0,1.46,14.948,0
1,0.0102,0,1,0,1.59,15.0042,0
1,0.0102,0,1,0,1.72,15.0454,0
1,0.0102,0,1,0,1.85,14.9849,0
1,0.0102,0,1,0,1.98,15.1467,0
1,0.0102,0,1,0,2.11,15.0779,0
1,0.0102,0,1,0,2.24,15.1081,0
1,0.0102,0,1,0,2.37,15.1648,0
1,0.0102,0,1,0,2.5,15.0971,0
1,0.01,0,1,0,-4,15.2703,0
1,0.01,0,1,0,-3.87,15.2277,0
1,0.01,0,1,0,-3.74,15.2501,0
1,0.01,0,1,0,-3.61,15.2188,0
1,0.01,0,1,0,-3.48,15.1662,0
1,0.01,0,1,0,-3.35,15.1376,0
1,0.01,0,1,0,-3.22,15.1356,0
1,0.01,0,1,0,-3.09,15.0486,0
1,0.01,0,1,0,-2.96,15.0963,0
1,0.01,0,1,0,-2.83,15.0714,0
1,0.01,0,1,0,-2.7,14.9707,0
1,0.01,0,1,0,-2.57,14.9425,0
1,0.01,0,1,0,-2.44,14.8983,0
1,0.01,0,1,0,-2.31,14.8038,0
1,0.01,0,1,0,-2.18,14.7434,0
1,0.01,0,1,0,-2.05,14.5432,0
1,0.01,0,1,0,-1.92,14.4224,0
1,0.01,0,1,0,-1.79,14.181,0
1,0.01,0,1,0,-1.66,13.784,0
1,0.01,0,1,0,-1.53,13.3633,0
1,0.01,0,1,0,-1.4,12.5168,0
1,0.01,0,1,0,-1.27,10.7562,0
1,0.01,0,1,0,-1.14,7.7418,0
1,0.01,0,1,0,-1.01,4.9724,0
1,0.01,0,1,0,-0.88,4.1843,0
1,0.01,0,1,0,-0.75,3.2866,0
1,0.01,0,1,0,-0.62,3.654,0
