frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,7.864854335784912
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,7.9197869300842285
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,7.974717140197754
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,8.029648780822754
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.555500000000001,8.084579467773438
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,8.139511108398438
1.0,0.005,0.0,1.0,0.0,-3.22,7.5128,8.194440841674805
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,8.249373435974121
1.0,0.005,0.0,1.0,0.0,-2.96,7.505799999999999,8.304305076599121
1.0,0.005,0.0,1.0,0.0,-2.83,7.466799999999999,8.359236717224121
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,8.414167404174805
1.0,0.005,0.0,1.0,0.0,-2.57,7.41,8.469098091125488
1.0,0.005,0.0,1.0,0.0,-2.44,7.3819,8.38011646270752
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,8.283970832824707
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,8.187826156616211
1.0,0.005,0.0,1.0,0.0,-2.05,7.192200000000001,8.091680526733398
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.109400000000001,7.995535373687744
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.89939022064209
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,7.388241767883301
1.0,0.005,0.0,1.0,0.0,-1.53,6.4761999999999995,6.8348894119262695
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,6.281537055969238
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,4.057229995727539
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,3.1262412071228027
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,2.4708807468414307
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,2.1122400760650635
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5092999999999999,2.3817739486694336
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,2.651308298110962
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,2.9208428859710693
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.940500000000001,5.460696220397949
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.459909439086914
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.308799999999999,6.60158109664917
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,6.743256092071533
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,6.884926795959473
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,6.967523574829102
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,7.023287773132324
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.894300000000001,7.079051494598389
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.134817123413086
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.985799999999999,7.190581321716309
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.014899999999999,7.246344566345215
1.0,0.005,0.0,1.0,0.0,1.0699999999999998,7.0636,7.302109718322754
1.0,0.005,0.0,1.0,0.0,1.2,7.0888,7.357872486114502
1.0,0.005,0.0,1.0,0.0,1.33,7.1137,7.413638591766357
1.0,0.005,0.0,1.0,0.0,1.4600000000000002,7.107700000000001,7.4694013595581055
1.0,0.005,0.0,1.0,0.0,1.5900000000000003,7.1404,7.525165557861328
1.0,0.005,0.0,1.0,0.0,1.7200000000000004,7.1725,7.580929279327393
1.0,0.005,0.0,1.0,0.0,1.8500000000000005,7.1873,7.636695861816406
1.0,0.005,0.0,1.0,0.0,1.98,7.2038,7.689589500427246
1.0,0.005,0.0,1.0,0.0,2.11,7.2047,7.7364935874938965
1.0,0.005,0.0,1.0,0.0,2.24,7.2332,7.78339958190918
1.0,0.005,0.0,1.0,0.0,2.37,7.241200000000001,7.8303022384643555
1.0,0.005,0.0,1.0,0.0,2.4999999999999996,7.225,7.877207279205322
1.0,0.0049,0.0,1.0,0.0,-4.0,7.6794,7.694491386413574
1.0,0.0049,0.0,1.0,0.0,-3.87,7.6778,7.749423503875732
1.0,0.0049,0.0,1.0,0.0,-3.7400000000000007,7.6804,7.804352760314941
1.0,0.0049,0.0,1.0,0.0,-3.61,7.6346,7.859286308288574
1.0,0.0049,0.0,1.0,0.0,-3.4800000000000004,7.6532,7.914215564727783
1.0,0.0049,0.0,1.0,0.0,-3.35,7.612499999999999,7.969147205352783
1.0,0.0049,0.0,1.0,0.0,-3.22,7.593,8.024079322814941
1.0,0.0049,0.0,1.0,0.0,-3.09,7.59,8.079010009765625
