freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.0050,0,0,0,-4.000,8.4920
1,0.0050,0,0,0,-3.987,8.4910
1,0.0050,0,0,0,-3.974,8.4900
1,0.0050,0,0,0,-3.961,8.4890
1,0.0050,0,0,0,-3.948,8.4880
1,0.0050,0,0,0,-3.935,8.4869
1,0.0050,0,0,0,-3.922,8.4859
1,0.0050,0,0,0,-3.909,8.4848
1,0.0050,0,0,0,-3.896,8.4838
1,0.0050,0,0,0,-3.883,8.4827
1,0.0050,0,0,0,-3.870,8.4816
1,0.0050,0,0,0,-3.857,8.4805
1,0.0050,0,0,0,-3.844,8.4794
1,0.0050,0,0,0,-3.831,8.4783
1,0.0050,0,0,0,-3.818,8.4771
1,0.0050,0,0,0,-3.805,8.4760
1,0.0050,0,0,0,-3.792,8.4748
1,0.0050,0,0,0,-3.779,8.4736
1,0.0050,0,0,0,-3.766,8.4724
1,0.0050,0,0,0,-3.753,8.4712
1,0.0050,0,0,0,-3.740,8.4700
1,0.0050,0,0,0,-3.727,8.4688
1,0.0050,0,0,0,-3.714,8.4675
1,0.0050,0,0,0,-3.701,8.4663
1,0.0050,0,0,0,-3.688,8.4650
1,0.0050,0,0,0,-3.675,8.4637
1,0.0050,0,0,0,-3.662,8.4624
1,0.0050,0,0,0,-3.649,8.4611
1,0.0050,0,0,0,-3.636,8.4597
1,0.0050,0,0,0,-3.623,8.4584
1,0.0050,0,0,0,-3.610,8.4570
1,0.0050,0,0,0,-3.597,8.4556
1,0.0050,0,0,0,-3.584,8.4542
1,0.0050,0,0,0,-3.571,8.4528
1,0.0050,0,0,0,-3.558,8.4513
1,0.0050,0,0,0,-3.545,8.4499
1,0.0050,0,0,0,-3.532,8.4484
1,0.0050,0,0,0,-3.519,8.4469
1,0.0050,0,0,0,-3.506,8.4454
1,0.0050,0,0,0,-3.493,8.4438
1,0.0050,0,0,0,-3.480,8.4423
1,0.0050,0,0,0,-3.467,8.4407
1,0.0050,0,0,0,-3.454,8.4391
1,0.0050,0,0,0,-3.441,8.4375
1,0.0050,0,0,0,-3.428,8.4358
1,0.0050,0,0,0,-3.415,8.4342
1,0.0050,0,0,0,-3.402,8.4325
1,0.0050,0,0,0,-3.389,8.4308
1,0.0050,0,0,0,-3.376,8.4290
1,0.0050,0,0,0,-3.363,8.4273
1,0.0050,0,0,0,-3.350,8.4255
1,0.0050,0,0,0,-3.337,8.4237
1,0.0050,0,0,0,-3.324,8.4218
1,0.0050,0,0,0,-3.311,8.4200
1,0.0050,0,0,0,-3.298,8.4181
1,0.0050,0,0,0,-3.285,8.4162
1,0.0050,0,0,0,-3.272,8.4142
1,0.0050,0,0,0,-3.259,8.4123
1,0.0050,0,0,0,-3.246,8.4103
1,0.0050,0,0,0,-3.233,8.4082
1,0.0050,0,0,0,-3.220,8.4062
1,0.0050,0,0,0,-3.207,8.4041
1,0.0050,0,0,0,-3.194,8.4020
1,0.0050,0,0,0,-3.181,8.3998
1,0.0050,0,0,0,-3.168,8.3976
1,0.0050,0,0,0,-3.155,8.3954
1,0.0050,0,0,0,-3.142,8.3931
1,0.0050,0,0,0,-3.129,8.3908
1,0.0050,0,0,0,-3.116,8.3885
1,0.0050,0,0,0,-3.103,8.3862
1,0.0050,0,0,0,-3.090,8.3837
1,0.0050,0,0,0,-3.077,8.3813
1,0.0050,0,0,0,-3.064,8.3788
1,0.0050,0,0,0,-3.051,8.3763
1,0.0050,0,0,0,-3.038,8.3737
1,0.0050,0,0,0,-3.025,8.3711
1,0.0050,0,0,0,-3.012,8.3685
1,0.0050,0,0,0,-2.999,8.3658
1,0.0050,0,0,0,-2.986,8.3630
1,0.0050,0,0,0,-2.973,8.3602
1,0.0050,0,0,0,-2.960,8.3574
1,0.0050,0,0,0,-2.947,8.3545
1,0.0050,0,0,0,-2.934,8.3516
1,0.0050,0,0,0,-2.921,8.3486
1,0.0050,0,0,0,-2.908,8.3455
1,0.0050,0,0,0,-2.895,8.3424
1,0.0050,0,0,0,-2.882,8.3393
1,0.0050,0,0,0,-2.869,8.3360
1,0.0050,0,0,0,-2.856,8.3328
1,0.0050,0,0,0,-2.843,8.3294
1,0.0050,0,0,0,-2.830,8.3260
1,0.0050,0,0,0,-2.817,8.3225
1,0.0050,0,0,0,-2.804,8.3190
1,0.0050,0,0,0,-2.791,8.3154
1,0.0050,0,0,0,-2.778,8.3117
1,0.0050,0,0,0,-2.765,8.3080
1,0.0050,0,0,0,-2.752,8.3041
1,0.0050,0,0,0,-2.739,8.3002
1,0.0050,0,0,0,-2.726,8.2962
1,0.0050,0,0,0,-2.713,8.2922
1,0.0050,0,0,0,-2.700,8.2880
1,0.0050,0,0,0,-2.687,8.2838
1,0.0050,0,0,0,-2.674,8.2795
1,0.0050,0,0,0,-2.661,8.2750
1,0.0050,0,0,0,-2.648,8.2705
1,0.0050,0,0,0,-2.635,8.2659
1,0.0050,0,0,0,-2.622,8.2612
1,0.0050,0,0,0,-2.609,8.2564
1,0.0050,0,0,0,-2.596,8.2514
1,0.0050,0,0,0,-2.583,8.2464
1,0.0050,0,0,0,-2.570,8.2412
1,0.0050,0,0,0,-2.557,8.2359
1,0.0050,0,0,0,-2.544,8.2305
1,0.0050,0,0,0,-2.531,8.2250
1,0.0050,0,0,0,-2.518,8.2193
1,0.0050,0,0,0,-2.505,8.2135
1,0.0050,0,0,0,-2.492,8.2075
1,0.0050,0,0,0,-2.479,8.2014
1,0.0050,0,0,0,-2.466,8.1951
1,0.0050,0,0,0,-2.453,8.1887
1,0.0050,0,0,0,-2.440,8.1821
1,0.0050,0,0,0,-2.427,8.1754
1,0.0050,0,0,0,-2.414,8.1684
1,0.0050,0,0,0,-2.401,8.1613
1,0.0050,0,0,0,-2.388,8.1540
1,0.0050,0,0,0,-2.375,8.1465
1,0.0050,0,0,0,-2.362,8.1387
1,0.0050,0,0,0,-2.349,8.1308
1,0.0050,0,0,0,-2.336,8.1226
1,0.0050,0,0,0,-2.323,8.1142
1,0.0050,0,0,0,-2.310,8.1055
1,0.0050,0,0,0,-2.297,8.0966
1,0.0050,0,0,0,-2.284,8.0874
1,0.0050,0,0,0,-2.271,8.0780
1,0.0050,0,0,0,-2.258,8.0682
1,0.0050,0,0,0,-2.245,8.0581
1,0.0050,0,0,0,-2.232,8.0478
1,0.0050,0,0,0,-2.219,8.0370
1,0.0050,0,0,0,-2.206,8.0260
1,0.0050,0,0,0,-2.193,8.0145
1,0.0050,0,0,0,-2.180,8.0027
1,0.0050,0,0,0,-2.167,7.9905
1,0.0050,0,0,0,-2.154,7.9778
1,0.0050,0,0,0,-2.141,7.9647
1,0.0050,0,0,0,-2.128,7.9511
1,0.0050,0,0,0,-2.115,7.9370
1,0.0050,0,0,0,-2.102,7.9225
1,0.0050,0,0,0,-2.089,7.9073
1,0.0050,0,0,0,-2.076,7.8916
1,0.0050,0,0,0,-2.063,7.8753
1,0.0050,0,0,0,-2.050,7.8583
1,0.0050,0,0,0,-2.037,7.8407
1,0.0050,0,0,0,-2.024,7.8223
1,0.0050,0,0,0,-2.011,7.8032
1,0.0050,0,0,0,-1.998,7.7833
1,0.0050,0,0,0,-1.985,7.7625
1,0.0050,0,0,0,-1.972,7.7408
1,0.0050,0,0,0,-1.959,7.7181
1,0.0050,0,0,0,-1.946,7.6945
1,0.0050,0,0,0,-1.933,7.6697
1,0.0050,0,0,0,-1.920,7.6438
1,0.0050,0,0,0,-1.907,7.6166
1,0.0050,0,0,0,-1.894,7.5882
1,0.0050,0,0,0,-1.881,7.5583
1,0.0050,0,0,0,-1.868,7.5269
1,0.0050,0,0,0,-1.855,7.4939
1,0.0050,0,0,0,-1.842,7.4592
1,0.0050,0,0,0,-1.829,7.4227
1,0.0050,0,0,0,-1.816,7.3841
1,0.0050,0,0,0,-1.803,7.3435
1,0.0050,0,0,0,-1.790,7.3006
1,0.0050,0,0,0,-1.777,7.2552
1,0.0050,0,0,0,-1.764,7.2073
1,0.0050,0,0,0,-1.751,7.1564
1,0.0050,0,0,0,-1.738,7.1026
1,0.0050,0,0,0,-1.725,7.0455
1,0.0050,0,0,0,-1.712,6.9849
1,0.0050,0,0,0,-1.699,6.9205
1,0.0050,0,0,0,-1.686,6.8520
1,0.0050,0,0,0,-1.673,6.7792
1,0.0050,0,0,0,-1.660,6.7017
1,0.0050,0,0,0,-1.647,6.6192
1,0.0050,0,0,0,-1.634,6.5313
1,0.0050,0,0,0,-1.621,6.4378
1,0.0050,0,0,0,-1.608,6.3382
1,0.0050,0,0,0,-1.595,6.2323
1,0.0050,0,0,0,-1.582,6.1197
1,0.0050,0,0,0,-1.569,6.0002
1,0.0050,0,0,0,-1.556,5.8735
1,0.0050,0,0,0,-1.543,5.7397
1,0.0050,0,0,0,-1.530,5.5985
1,0.0050,0,0,0,-1.517,5.4503
1,0.0050,0,0,0,-1.504,5.2952
1,0.0050,0,0,0,-1.491,5.1338
1,0.0050,0,0,0,-1.478,4.9669
1,0.0050,0,0,0,-1.465,4.7953
1,0.0050,0,0,0,-1.452,4.6203
1,0.0050,0,0,0,-1.439,4.4432
1,0.0050,0,0,0,-1.426,4.2655
1,0.0050,0,0,0,-1.413,4.0890
1,0.0050,0,0,0,-1.400,3.9152
1,0.0050,0,0,0,-1.387,3.7457
1,0.0050,0,0,0,-1.374,3.5820
1,0.0050,0,0,0,-1.361,3.4253
1,0.0050,0,0,0,-1.348,3.2765
1,0.0050,0,0,0,-1.335,3.1362
1,0.0050,0,0,0,-1.322,3.0049
1,0.0050,0,0,0,-1.309,2.8826
1,0.0050,0,0,0,-1.296,2.7692
1,0.0050,0,0,0,-1.283,2.6643
1,0.0050,0,0,0,-1.270,2.5676
1,0.0050,0,0,0,-1.257,2.4785
1,0.0050,0,0,0,-1.244,2.3964
1,0.0050,0,0,0,-1.231,2.3207
1,0.0050,0,0,0,-1.218,2.2509
1,0.0050,0,0,0,-1.205,2.1864
1,0.0050,0,0,0,-1.192,2.1266
1,0.0050,0,0,0,-1.179,2.0712
1,0.0050,0,0,0,-1.166,2.0197
1,0.0050,0,0,0,-1.153,1.9717
1,0.0050,0,0,0,-1.140,1.9269
1,0.0050,0,0,0,-1.127,1.8849
1,0.0050,0,0,0,-1.114,1.8455
1,0.0050,0,0,0,-1.101,1.8084
1,0.0050,0,0,0,-1.088,1.7734
1,0.0050,0,0,0,-1.075,1.7404
1,0.0050,0,0,0,-1.062,1.7092
1,0.0050,0,0,0,-1.049,1.6795
1,0.0050,0,0,0,-1.036,1.6514
1,0.0050,0,0,0,-1.023,1.6246
1,0.0050,0,0,0,-1.010,1.5991
1,0.0050,0,0,0,-0.997,1.5747
1,0.0050,0,0,0,-0.984,1.5514
1,0.0050,0,0,0,-0.971,1.5292
1,0.0050,0,0,0,-0.958,1.5078
1,0.0050,0,0,0,-0.945,1.4874
1,0.0050,0,0,0,-0.932,1.4677
1,0.0050,0,0,0,-0.919,1.4488
1,0.0050,0,0,0,-0.906,1.4306
1,0.0050,0,0,0,-0.893,1.4131
1,0.0050,0,0,0,-0.880,1.3963
1,0.0050,0,0,0,-0.867,1.3800
1,0.0050,0,0,0,-0.854,1.3643
1,0.0050,0,0,0,-0.841,1.3492
1,0.0050,0,0,0,-0.828,1.3346
1,0.0050,0,0,0,-0.815,1.3206
1,0.0050,0,0,0,-0.802,1.3071
1,0.0050,0,0,0,-0.789,1.2943
1,0.0050,0,0,0,-0.776,1.2821
1,0.0050,0,0,0,-0.763,1.2707
1,0.0050,0,0,0,-0.750,1.2604
1,0.0050,0,0,0,-0.737,1.2513
1,0.0050,0,0,0,-0.724,1.2441
1,0.0050,0,0,0,-0.711,1.2395
1,0.0050,0,0,0,-0.698,1.2387
1,0.0050,0,0,0,-0.685,1.2434
1,0.0050,0,0,0,-0.672,1.2564
1,0.0050,0,0,0,-0.659,1.2815
1,0.0050,0,0,0,-0.646,1.3245
1,0.0050,0,0,0,-0.633,1.3929
1,0.0050,0,0,0,-0.620,1.4969
1,0.0050,0,0,0,-0.607,1.6484
1,0.0050,0,0,0,-0.594,1.8589
1,0.0050,0,0,0,-0.581,2.1367
1,0.0050,0,0,0,-0.568,2.4819
1,0.0050,0,0,0,-0.555,2.8836
1,0.0050,0,0,0,-0.542,3.3209
1,0.0050,0,0,0,-0.529,3.7685
1,0.0050,0,0,0,-0.516,4.2031
1,0.0050,0,0,0,-0.503,4.6082
1,0.0050,0,0,0,-0.490,4.9748
1,0.0050,0,0,0,-0.477,5.3003
1,0.0050,0,0,0,-0.464,5.5861
1,0.0050,0,0,0,-0.451,5.8357
1,0.0050,0,0,0,-0.438,6.0533
1,0.0050,0,0,0,-0.425,6.2433
1,0.0050,0,0,0,-0.412,6.4098
1,0.0050,0,0,0,-0.399,6.5562
1,0.0050,0,0,0,-0.386,6.6856
1,0.0050,0,0,0,-0.373,6.8005
1,0.0050,0,0,0,-0.360,6.9030
1,0.0050,0,0,0,-0.347,6.9950
1,0.0050,0,0,0,-0.334,7.0778
1,0.0050,0,0,0,-0.321,7.1528
1,0.0050,0,0,0,-0.308,7.2210
1,0.0050,0,0,0,-0.295,7.2832
1,0.0050,0,0,0,-0.282,7.3401
1,0.0050,0,0,0,-0.269,7.3925
1,0.0050,0,0,0,-0.256,7.4408
1,0.0050,0,0,0,-0.243,7.4855
1,0.0050,0,0,0,-0.230,7.5270
1,0.0050,0,0,0,-0.217,7.5655
1,0.0050,0,0,0,-0.204,7.6015
1,0.0050,0,0,0,-0.191,7.6352
1,0.0050,0,0,0,-0.178,7.6667
1,0.0050,0,0,0,-0.165,7.6963
1,0.0050,0,0,0,-0.152,7.7242
1,0.0050,0,0,0,-0.139,7.7505
1,0.0050,0,0,0,-0.126,7.7753
1,0.0050,0,0,0,-0.113,7.7988
1,0.0050,0,0,0,-0.100,7.8210
1,0.0050,0,0,0,-0.087,7.8421
1,0.0050,0,0,0,-0.074,7.8622
1,0.0050,0,0,0,-0.061,7.8813
1,0.0050,0,0,0,-0.048,7.8995
1,0.0050,0,0,0,-0.035,7.9168
1,0.0050,0,0,0,-0.022,7.9334
