freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.005,0,1,0,-4,7.599
1,0.005,0,1,0,-3.87,7.5796
1,0.005,0,1,0,-3.74,7.5782
1,0.005,0,1,0,-3.61,7.5627
1,0.005,0,1,0,-3.48,7.5555
1,0.005,0,1,0,-3.35,7.5428
1,0.005,0,1,0,-3.22,7.5128
1,0.005,0,1,0,-3.09,7.5221
1,0.005,0,1,0,-2.96,7.5058
1,0.005,0,1,0,-2.83,7.4668
1,0.005,0,1,0,-2.7,7.4362
1,0.005,0,1,0,-2.57,7.41
1,0.005,0,1,0,-2.44,7.3819
1,0.005,0,1,0,-2.31,7.3295
1,0.005,0,1,0,-2.18,7.2834
1,0.005,0,1,0,-2.05,7.1922
1,0.005,0,1,0,-1.92,7.1094
1,0.005,0,1,0,-1.79,7.0037
1,0.005,0,1,0,-1.66,6.8013
1,0.005,0,1,0,-1.53,6.4762
1,0.005,0,1,0,-1.4,5.9339
1,0.005,0,1,0,-1.27,4.8914
1,0.005,0,1,0,-1.14,3.3418
1,0.005,0,1,0,-1.01,2.3145
1,0.005,0,1,0,-0.88,1.9022
1,0.005,0,1,0,-0.75,1.5093
1,0.005,0,1,0,-0.62,1.8834
1,0.005,0,1,0,-0.49,2.9523
1,0.005,0,1,0,-0.36,4.9405
1,0.005,0,1,0,-0.23,5.8892
1,0.005,0,1,0,-0.1,6.3088
1,0.005,0,1,0,0.03,6.5335
1,0.005,0,1,0,0.16,6.649
1,0.005,0,1,0,0.29,6.7669
1,0.005,0,1,0,0.42,6.8393
1,0.005,0,1,0,0.55,6.8943
1,0.005,0,1,0,0.68,6.9594
1,0.005,0,1,0,0.81,6.9858
1,0.005,0,1,0,0.94,7.0149
1,0.005,0,1,0,1.07,7.0636
1,0.005,0,1,0,1.2,7.0888
1,0.005,0,1,0,1.33,7.1137
1,0.005,0,1,0,1.46,7.1077
1,0.005,0,1,0,1.59,7.1404
1,0.005,0,1,0,1.72,7.1725
1,0.005,0,1,0,1.85,7.1873
1,0.005,0,1,0,1.98,7.2038
1,0.005,0,1,0,2.11,7.2047
1,0.005,0,1,0,2.24,7.2332
1,0.005,0,1,0,2.37,7.2412
1,0.005,0,1,0,2.5,7.225
1,0.0049,0,1,0,-4,7.6794
1,0.0049,0,1,0,-3.87,7.6778
1,0.0049,0,1,0,-3.74,7.6804
1,0.0049,0,1,0,-3.61,7.6346
1,0.0049,0,1,0,-3.48,7.6532
1,0.0049,0,1,0,-3.35,7.6125
1,0.0049,0,1,0,-3.22,7.593
1,0.0049,0,1,0,-3.09,7.59
1,0.0049,0,1,0,-2.96,7.5841
1,0.0049,0,1,0,-2.83,7.5402
1,0.0049,0,1,0,-2.7,7.5321
1,0.0049,0,1,0,-2.57,7.4757
1,0.0049,0,1,0,-2.44,7.4372
1,0.0049,0,1,0,-2.31,7.3979
1,0.0049,0,1,0,-2.18,7.3567
1,0.0049,0,1,0,-2.05,7.2889
1,0.0049,0,1,0,-1.92,7.1938
1,0.0049,0,1,0,-1.79,7.0558
1,0.0049,0,1,0,-1.66,6.8186
1,0.0049,0,1,0,-1.53,6.515
1,0.0049,0,1,0,-1.4,5.9202
1,0.0049,0,1,0,-1.27,4.8869
1,0.0049,0,1,0,-1.14,3.3288
1,0.0049,0,1,0,-1.01,2.3169
1,0.0049,0,1,0,-0.88,1.9327
1,0.0049,0,1,0,-0.75,1.641
1,0.0049,0,1,0,-0.62,2.0665
1,0.0049,0,1,0,-0.49,3.2655
1,0.0049,0,1,0,-0.36,5.273
1,0.0049,0,1,0,-0.23,6.1592
1,0.0049,0,1,0,-0.1,6.5814
1,0.0049,0,1,0,0.03,6.7946
1,0.0049,0,1,0,0.16,6.9562
1,0.0049,0,1,0,0.29,7.0517
1,0.0049,0,1,0,0.42,7.1309
1,0.0049,0,1,0,0.55,7.207
1,0.0049,0,1,0,0.68,7.248
1,0.0049,0,1,0,0.81,7.2797
1,0.0049,0,1,0,0.94,7.3064
1,0.0049,0,1,0,1.07,7.3581
1,0.0049,0,1,0,1.2,7.3964
1,0.0049,0,1,0,1.33,7.4057
1,0.0049,0,1,0,1.46,7.3964
1,0.0049,0,1,0,1.59,7.4129
1,0.0049,0,1,0,1.72,7.4397
1,0.0049,0,1,0,1.85,7.4513
1,0.0049,0,1,0,1.98,7.4807
1,0.0049,0,1,0,2.11,7.4649
1,0.0049,0,1,0,2.24,7.4863
1,0.0049,0,1,0,2.37,7.4921
1,0.0049,0,1,0,2.5,7.4988
1,0.0102,0,1,0,-4,15.3047
1,0.0102,0,1,0,-3.87,15.3382
1,0.0102,0,1,0,-3.74,15.2704
1,0.0102,0,1,0,-3.61,15.2997
1,0.0102,0,1,0,-3.48,15.2919
1,0.0102,0,1,0,-3.35,15.2179
1,0.0102,0,1,0,-3.22,15.2236
1,0.0102,0,1,0,-3.09,15.1817
1,0.0102,0,1,0,-2.96,15.1506
1,0.0102,0,1,0,-2.83,15.1269
