frequency_kHz,area_mm2,RCA_STD,Dry_Wet,T21_T23,Voltage_V,Cm_pF,Cm_pred_pF
1.0,0.005,0.0,1.0,0.0,-4.0,7.599,8.351025581359863
1.0,0.005,0.0,1.0,0.0,-3.87,7.5796,8.33788776397705
1.0,0.005,0.0,1.0,0.0,-3.7400000000000007,7.5782,8.324746131896973
1.0,0.005,0.0,1.0,0.0,-3.61,7.5627,8.31160831451416
1.0,0.005,0.0,1.0,0.0,-3.4800000000000004,7.5555,8.298467636108398
1.0,0.005,0.0,1.0,0.0,-3.35,7.5428,8.285327911376953
1.0,0.005,0.0,1.0,0.0,-3.22,7.512800000000001,8.272189140319824
1.0,0.005,0.0,1.0,0.0,-3.09,7.5221,8.259049415588379
1.0,0.005,0.0,1.0,0.0,-2.96,7.5058,8.245908737182617
1.0,0.005,0.0,1.0,0.0,-2.83,7.4668,8.232841491699219
1.0,0.005,0.0,1.0,0.0,-2.7,7.4362,8.233139038085938
1.0,0.005,0.0,1.0,0.0,-2.57,7.410000000000001,8.231329917907715
1.0,0.005,0.0,1.0,0.0,-2.44,7.381899999999999,8.204581260681152
1.0,0.005,0.0,1.0,0.0,-2.31,7.3295,8.177833557128906
1.0,0.005,0.0,1.0,0.0,-2.18,7.2834,8.151084899902344
1.0,0.005,0.0,1.0,0.0,-2.05,7.1922,8.070758819580078
1.0,0.005,0.0,1.0,0.0,-1.9200000000000002,7.1094,7.654313564300537
1.0,0.005,0.0,1.0,0.0,-1.79,7.0037,7.1942973136901855
1.0,0.005,0.0,1.0,0.0,-1.66,6.8013,6.70248556137085
1.0,0.005,0.0,1.0,0.0,-1.53,6.4762,6.122929096221924
1.0,0.005,0.0,1.0,0.0,-1.4,5.9339,5.355967044830322
1.0,0.005,0.0,1.0,0.0,-1.2699999999999998,4.8914,4.6016621589660645
1.0,0.005,0.0,1.0,0.0,-1.1399999999999997,3.3418,4.019522666931152
1.0,0.005,0.0,1.0,0.0,-1.01,2.3145,3.4225142002105713
1.0,0.005,0.0,1.0,0.0,-0.8799999999999999,1.9022,3.070523977279663
1.0,0.005,0.0,1.0,0.0,-0.7500000000000002,1.5093,3.6522421836853027
1.0,0.005,0.0,1.0,0.0,-0.6200000000000001,1.8834,4.2339606285095215
1.0,0.005,0.0,1.0,0.0,-0.49,2.9523,4.88549280166626
1.0,0.005,0.0,1.0,0.0,-0.3599999999999999,4.9405,5.615935802459717
1.0,0.005,0.0,1.0,0.0,-0.22999999999999976,5.8892,6.110904216766357
1.0,0.005,0.0,1.0,0.0,-0.09999999999999964,6.3088,6.588947296142578
1.0,0.005,0.0,1.0,0.0,0.02999999999999975,6.5335,7.066754341125488
1.0,0.005,0.0,1.0,0.0,0.15999999999999986,6.649,7.292415618896484
1.0,0.005,0.0,1.0,0.0,0.29,6.7669,7.4400506019592285
1.0,0.005,0.0,1.0,0.0,0.4200000000000001,6.8393,7.5021843910217285
1.0,0.005,0.0,1.0,0.0,0.5500000000000002,6.8943,7.553179740905762
1.0,0.005,0.0,1.0,0.0,0.6800000000000003,6.9594,7.604173183441162
1.0,0.005,0.0,1.0,0.0,0.8099999999999997,6.9858,7.6551690101623535
1.0,0.005,0.0,1.0,0.0,0.9399999999999998,7.0149,7.706024646759033
1.0,0.005,0.0,1.0,0.0,1.0699999999999998,7.0636,7.745131969451904
1.0,0.005,0.0,1.0,0.0,1.2,7.0888,7.784242630004883
1.0,0.005,0.0,1.0,0.0,1.33,7.1137,7.82335090637207
1.0,0.005,0.0,1.0,0.0,1.4600000000000002,7.1077,7.862460613250732
1.0,0.005,0.0,1.0,0.0,1.5900000000000003,7.1404,7.90156888961792
1.0,0.005,0.0,1.0,0.0,1.7200000000000004,7.1725,7.933804512023926
1.0,0.005,0.0,1.0,0.0,1.8500000000000005,7.1873,7.960686683654785
1.0,0.005,0.0,1.0,0.0,1.98,7.2038,7.98757266998291
1.0,0.005,0.0,1.0,0.0,2.11,7.2047,8.014456748962402
1.0,0.005,0.0,1.0,0.0,2.24,7.2332,8.041339874267578
1.0,0.005,0.0,1.0,0.0,2.37,7.2412,8.06822395324707
1.0,0.005,0.0,1.0,0.0,2.4999999999999996,7.225,8.095108985900879
1.0,0.0049,0.0,1.0,0.0,-4.0,7.6794,8.190237045288086
1.0,0.0049,0.0,1.0,0.0,-3.87,7.6777999999999995,8.177093505859375
1.0,0.0049,0.0,1.0,0.0,-3.7400000000000007,7.6804,8.163956642150879
1.0,0.0049,0.0,1.0,0.0,-3.61,7.6346,8.150815963745117
1.0,0.0049,0.0,1.0,0.0,-3.4800000000000004,7.6532,8.137676239013672
1.0,0.0049,0.0,1.0,0.0,-3.35,7.6125,8.12453556060791
1.0,0.0049,0.0,1.0,0.0,-3.22,7.593,8.111397743225098
1.0,0.0049,0.0,1.0,0.0,-3.09,7.59,8.098258018493652
1.0,0.0049,0.0,1.0,0.0,-2.96,7.5841,8.085118293762207
1.0,0.0049,0.0,1.0,0.0,-2.83,7.5402,8.07207202911377
1.0,0.0049,0.0,1.0,0.0,-2.7,7.5321,8.072369575500488
1.0,0.0049,0.0,1.0,0.0,-2.57,7.4757,8.065317153930664
1.0,0.0049,0.0,1.0,0.0,-2.44,7.4372,8.038569450378418
1.0,0.0049,0.0,1.0,0.0,-2.31,7.3979,8.011821746826172
1.0,0.0049,0.0,1.0,0.0,-2.18,7.3567,7.985072612762451
1.0,0.0049,0.0,1.0,0.0,-2.05,7.288899999999999,7.934097766876221
1.0,0.0049,0.0,1.0,0.0,-1.9200000000000002,7.1938,7.512798309326172
1.0,0.0049,0.0,1.0,0.0,-1.79,7.0558,7.05885124206543
1.0,0.0049,0.0,1.0,0.0,-1.66,6.8186,6.567039966583252
1.0,0.0049,0.0,1.0,0.0,-1.53,6.514999999999999,6.0085344314575195
1.0,0.0049,0.0,1.0,0.0,-1.4,5.9202,5.239030838012695
1.0,0.0049,0.0,1.0,0.0,-1.2699999999999998,4.8869,4.48464822769165
1.0,0.0049,0.0,1.0,0.0,-1.1399999999999997,3.3288,3.9270293712615967
1.0,0.0049,0.0,1.0,0.0,-1.01,2.3169,3.331181287765503
1.0,0.0049,0.0,1.0,0.0,-0.8799999999999999,1.9327,2.964358329772949
1.0,0.0049,0.0,1.0,0.0,-0.7500000000000002,1.641,3.546077251434326
1.0,0.0049,0.0,1.0,0.0,-0.6200000000000001,2.0665,4.127795696258545
1.0,0.0049,0.0,1.0,0.0,-0.49,3.2655,4.775562763214111
1.0,0.0049,0.0,1.0,0.0,-0.3599999999999999,5.273000000000001,5.50757360458374
